CD_MUNCP	DESIGNATION	NAME_MUNCP	MRC	REG_ADM
9060	Municipalité	Grand-Métis	La Mitis	Bas-Saint-Laurent
83095	Municipalité	Grand-Remous	La Vallée-de-la-Gatineau	Outaouais
50065	Municipalité	Grand-Saint-Esprit	Nicolet-Yamaska	Centre-du-Québec
2015	Ville	Grande-Rivière	Le Rocher-Percé	Gaspésie–Îles-de-la-Madeleine
3020	Municipalité	Grande-Vallée	La Côte-de-Gaspé	Gaspésie–Îles-de-la-Madeleine
35040	Village	Grandes-Piles	Mékinac	Mauricie
76055	Village	Grenville	Argenteuil	Laurentides
76052	Municipalité	Grenville-sur-la-Rouge	Argenteuil	Laurentides
98014	Municipalité	Gros-Mécatina	Le Golfe-du-Saint-Laurent	Côte-Nord
1042	Municipalité	Grosse-Île	Hors MRC	Gaspésie–Îles-de-la-Madeleine
8015	Municipalité	Grosses-Roches	La Matanie	Bas-Saint-Laurent
85095	Canton	Guérin	Témiscamingue	Abitibi-Témiscamingue
39010	Canton	Ham-Nord	Arthabaska	Centre-du-Québec
40005	Municipalité	Ham-Sud	Les Sources	Estrie
41075	Canton	Hampden	Le Haut-Saint-François	Estrie
66062	Ville	Hampstead	Hors MRC \ Communauté métropolitaine de Montréal	Montréal
76065	Canton	Harrington	Argenteuil	Laurentides
45043	Municipalité	Hatley	Memphrémagog	Estrie
45055	Canton	Hatley	Memphrémagog	Estrie
69005	Canton	Havelock	Le Haut-Saint-Laurent	Montérégie
98040	Municipalité	Havre-Saint-Pierre	Minganie	Côte-Nord
93020	Municipalité	Hébertville	Lac-Saint-Jean-Est	Saguenay–Lac-Saint-Jean
93025	Village	Hébertville-Station	Lac-Saint-Jean-Est	Saguenay–Lac-Saint-Jean
68015	Canton	Hemmingford	Les Jardins-de-Napierville	Montérégie
68010	Village	Hemmingford	Les Jardins-de-Napierville	Montérégie
56042	Municipalité	Henryville	Le Haut-Richelieu	Montérégie
35035	Paroisse	Hérouxville	Mékinac	Mauricie
69045	Municipalité	Hinchinbrooke	Le Haut-Saint-Laurent	Montérégie
19070	Municipalité	Honfleur	Bellechasse	Chaudière-Appalaches
5025	Canton	Hope	Bonaventure	Gaspésie–Îles-de-la-Madeleine
5020	Municipalité	Hope Town	Bonaventure	Gaspésie–Îles-de-la-Madeleine
69025	Municipalité	Howick	Le Haut-Saint-Laurent	Montérégie
78065	Municipalité	Huberdeau	Les Laurentides	Laurentides
71100	Ville	Hudson	Vaudreuil-Soulanges\ Communauté métropolitaine de Montréal	Montérégie
69055	Ville	Huntingdon	Le Haut-Saint-Laurent	Montérégie
32058	Municipalité	Inverness	L'Érable	Centre-du-Québec
31040	Municipalité	Irlande	Les Appalaches	Chaudière-Appalaches
78042	Municipalité	Ivry-sur-le-Lac	Les Laurentides	Laurentides
61025	Ville	Joliette	Joliette	Lanaudière
14050	Municipalité	Kamouraska	Kamouraska	Bas-Saint-Laurent
83015	Municipalité	Kazabazua	La Vallée-de-la-Gatineau	Outaouais
79025	Municipalité	Kiamika	Antoine-Labelle	Laurentides
42070	Village	Kingsbury	Le Val-Saint-François	Estrie
39097	Ville	Kingsey Falls	Arthabaska	Centre-du-Québec
31105	Municipalité	Kinnear's Mills	Les Appalaches	Chaudière-Appalaches
85010	Municipalité	Kipawa	Témiscamingue	Abitibi-Témiscamingue
66102	Ville	Kirkland	Hors MRC \ Communauté métropolitaine de Montréal	Montréal
23057	Ville	L'Ancienne-Lorette	Hors MRC \ Communauté métropolitaine de Québec	Capitale-Nationale
82005	Municipalité	L'Ange-Gardien	Les Collines-de-l'Outaouais	Outaouais
21040	Municipalité	L'Ange-Gardien	La Côte-de-Beaupré\ Communauté métropolitaine de Québec	Capitale-Nationale
94210	Municipalité	L'Anse-Saint-Jean	Le Fjord-du-Saguenay	Saguenay–Lac-Saint-Jean
79050	Municipalité	L'Ascension	Antoine-Labelle	Laurentides
93065	Paroisse	L'Ascension-de-Notre-Seigneur	Lac-Saint-Jean-Est	Saguenay–Lac-Saint-Jean
6060	Municipalité	L'Ascension-de-Patapédia	Avignon	Gaspésie–Îles-de-la-Madeleine
60028	Ville	L'Assomption	L'Assomption \ Communauté métropolitaine de Montréal	Lanaudière
49025	Municipalité	L'Avenir	Drummond	Centre-du-Québec
60040	Paroisse	L'Épiphanie	L'Assomption	Lanaudière
60035	Ville	L'Épiphanie	L'Assomption	Lanaudière
71095	Ville	L'Île-Cadieux	Vaudreuil-Soulanges\ Communauté métropolitaine de Montréal	Montérégie
98020	Municipalité	L'Île-d'Anticosti	Minganie	Côte-Nord
66092	Ville	L'Île-Dorval	Hors MRC \ Communauté métropolitaine de Montréal	Montréal
84035	Municipalité	L'Île-du-Grand-Calumet	Pontiac	Outaouais
71060	Ville	L'Île-Perrot	Vaudreuil-Soulanges\ Communauté métropolitaine de Montréal	Montérégie
84082	Municipalité	L'Isle-aux-Allumettes	Pontiac	Outaouais
16023	Municipalité	L'Isle-aux-Coudres	Charlevoix	Capitale-Nationale
12043	Municipalité	L'Isle-Verte	Rivière-du-Loup	Bas-Saint-Laurent
17078	Municipalité	L'Islet	L'Islet	Chaudière-Appalaches
90017	Municipalité	La Bostonnais	Hors MRC	Mauricie
78115	Municipalité	La Conception	Les Laurentides	Laurentides
88030	Municipalité	La Corne	Abitibi	Abitibi-Témiscamingue
91050	Paroisse	La Doré	Le Domaine-du-Roy	Saguenay–Lac-Saint-Jean
19090	Paroisse	La Durantaye	Bellechasse	Chaudière-Appalaches
29030	Village	La Guadeloupe	Beauce-Sartigan	Chaudière-Appalaches
79047	Municipalité	La Macaza	Antoine-Labelle	Laurentides
15013	Ville	La Malbaie	Charlevoix-Est	Capitale-Nationale
4030	Municipalité	La Martre	La Haute-Gaspésie	Gaspésie–Îles-de-la-Madeleine
78130	Municipalité	La Minerve	Les Laurentides	Laurentides
88015	Municipalité	La Morandière	Abitibi	Abitibi-Témiscamingue
88045	Municipalité	La Motte	Abitibi	Abitibi-Témiscamingue
41027	Municipalité	La Patrie	Le Haut-Saint-François	Estrie
82035	Municipalité	La Pêche	Les Collines-de-l'Outaouais	Outaouais
14085	Ville	La Pocatière	Kamouraska	Bas-Saint-Laurent
67015	Ville	La Prairie	Roussillon \ Communauté métropolitaine de Montréal	Montérégie
54035	Municipalité	La Présentation	Les Maskoutains	Montérégie
9005	Paroisse	La Rédemption	La Mitis	Bas-Saint-Laurent
87080	Municipalité	La Reine	Abitibi-Ouest	Abitibi-Témiscamingue
87090	Ville	La Sarre	Abitibi-Ouest	Abitibi-Témiscamingue
10010	Paroisse	La Trinité-des-Monts	Rimouski-Neigette	Bas-Saint-Laurent
90012	Ville	La Tuque	Hors MRC	Mauricie
52050	Municipalité	La Visitation-de-l'Île-Dupas	D'Autray	Lanaudière
50085	Municipalité	La Visitation-de-Yamaska	Nicolet-Yamaska	Centre-du-Québec
78120	Municipalité	Labelle	Les Laurentides	Laurentides
93055	Municipalité	Labrecque	Lac-Saint-Jean-Est	Saguenay–Lac-Saint-Jean
7057	Municipalité	Lac-au-Saumon	La Matapédia	Bas-Saint-Laurent
35010	Paroisse	Lac-aux-Sables	Mékinac	Mauricie
22040	Municipalité	Lac-Beauport	La Jacques-Cartier \ Communauté métropolitaine de Québec	Capitale-Nationale
91005	Municipalité	Lac-Bouchette	Le Domaine-du-Roy	Saguenay–Lac-Saint-Jean
46075	Ville	Lac-Brome	Brome-Missisquoi	Montérégie
22030	Ville	Lac-Delage	La Jacques-Cartier \ Communauté métropolitaine de Québec	Capitale-Nationale
13060	Municipalité	Lac-des-Aigles	Témiscouata	Bas-Saint-Laurent
79078	Municipalité	Lac-des-Écorces	Antoine-Labelle	Laurentides
80130	Municipalité	Lac-des-Plages	Papineau	Outaouais
77055	Municipalité	Lac-des-Seize-Îles	Les Pays-d'en-Haut	Laurentides
30080	Municipalité	Lac-Drolet	Le Granit	Estrie
79015	Municipalité	Lac-du-Cerf	Antoine-Labelle	Laurentides
90027	Municipalité	Lac-Édouard	Hors MRC	Mauricie
28053	Municipalité	Lac-Etchemin	Les Etchemins	Chaudière-Appalaches
18010	Municipalité	Lac-Frontière	Montmagny	Chaudière-Appalaches
30030	Ville	Lac-Mégantic	Le Granit	Estrie
29095	Village	Lac-Poulin	Beauce-Sartigan	Chaudière-Appalaches
79060	Village	Lac-Saguay	Antoine-Labelle	Laurentides
22015	Ville	Lac-Saint-Joseph	La Jacques-Cartier \ Communauté métropolitaine de Québec	Capitale-Nationale
79105	Municipalité	Lac-Saint-Paul	Antoine-Labelle	Laurentides
83020	Municipalité	Lac-Sainte-Marie	La Vallée-de-la-Gatineau	Outaouais
34120	Ville	Lac-Sergent	Portneuf	Capitale-Nationale
80095	Municipalité	Lac-Simon	Papineau	Outaouais
78095	Municipalité	Lac-Supérieur	Les Laurentides	Laurentides
78127	Municipalité	Lac-Tremblant-Nord	Les Laurentides	Laurentides
76020	Ville	Lachute	Argenteuil	Laurentides
56023	Municipalité	Lacolle	Le Haut-Richelieu	Montérégie
85070	Municipalité	Laforce	Témiscamingue	Abitibi-Témiscamingue
93060	Municipalité	Lamarche	Lac-Saint-Jean-Est	Saguenay–Lac-Saint-Jean
30095	Municipalité	Lambton	Le Granit	Estrie
88035	Canton	Landrienne	Abitibi	Abitibi-Témiscamingue
52017	Municipalité	Lanoraie	D'Autray	Lanaudière
78015	Municipalité	Lantier	Les Laurentides	Laurentides
94265	Municipalité	Larouche	Le Fjord-du-Saguenay	Saguenay–Lac-Saint-Jean
85060	Cantons unis	Latulipe-et-Gaboury	Témiscamingue	Abitibi-Témiscamingue
88080	Canton	Launay	Abitibi	Abitibi-Témiscamingue
33060	Village	Laurier-Station	Lotbinière	Chaudière-Appalaches
32072	Municipalité	Laurierville	L'Érable	Centre-du-Québec
65005	Ville	Laval	Hors MRC \ Communauté métropolitaine de Montréal	Laval
52007	Ville	Lavaltrie	D'Autray	Lanaudière
85050	Municipalité	Laverlochère	Témiscamingue	Abitibi-Témiscamingue
42045	Village	Lawrenceville	Le Val-Saint-François	Estrie
99005	Ville	Lebel-sur-Quévillon	Hors MRC	Nord-du-Québec
33123	Municipalité	Leclercville	Lotbinière	Chaudière-Appalaches
49020	Municipalité	Lefebvre	Drummond	Centre-du-Québec
13050	Municipalité	Lejeune	Témiscouata	Bas-Saint-Laurent
38020	Municipalité	Lemieux	Bécancour	Centre-du-Québec
67055	Ville	Léry	Roussillon \ Communauté métropolitaine de Montréal	Montérégie
95018	Municipalité	Les Bergeronnes	La Haute-Côte-Nord	Côte-Nord
71050	Municipalité	Les Cèdres	Vaudreuil-Soulanges\ Communauté métropolitaine de Montréal	Montérégie
71033	Municipalité	Les Coteaux	Vaudreuil-Soulanges	Montérégie
16048	Municipalité	Les Éboulements	Charlevoix	Capitale-Nationale
95025	Municipalité	Les Escoumins	La Haute-Côte-Nord	Côte-Nord
9015	Municipalité	Les Hauteurs	La Mitis	Bas-Saint-Laurent
1023	Municipalité	Les Îles-de-la-Madeleine	Hors MRC	Gaspésie–Îles-de-la-Madeleine
